,name,age,position1,position2,Apps,Mins,Assists,KeyP,AvgP,PS%,Crosses,LongB,ThrB,Rating
0,Harry Kane Tottenham,28, AM(C), AM(C),35,3087,14,1.4,25.9,69.9,0.2,1.9,0.1,7.79
1,Kevin De Bruyne Man City,30, M(CLR), M(CLR),23(2),2001,12,3.2,50.6,81.7,1.6,2.6,0.2,7.65
2,Jack Grealish Aston Villa,26, AM(CL),,24(2),2184,10,3.1,38.3,83.3,0.7,1.2,0.1,7.56
3,Bruno Fernandes Man Utd,27, M(CLR),,35(2),3110,12,2.6,57.1,78.3,1.1,3.8,0.2,7.43
4,Tomas Soucek West Ham,26, DMC,,38,3420,1,0.5,42.3,75.5,0,2.2,0,7.36
5,Mason Mount Chelsea,22, M(CLR),,32(4),2892,5,2.4,47.3,86.5,1.7,1.6,0,7.33
6,Sadio Mané Liverpool,29, AM(CLR), AM(CLR),31(4),2813,7,1.7,28.8,78.7,0.3,0.8,0,7.33
7,Riyad Mahrez Man City,30, AM(CLR), AM(CLR),23(4),1955,6,1.6,37.2,88.4,0.7,0.9,0,7.31
8,João Cancelo Man City,27, D(LR), D(LR),27(1),2302,3,1.6,66.2,87.1,0.4,2.4,0.1,7.31
9,Gareth Bale Tottenham,32, M(CLR), M(CLR),10(10),923,2,1.1,18.3,73.2,0.6,1.5,0.1,7.3
10,Ilkay Gündogan Man City,31, M(C),,23(5),2031,2,1.5,61.2,91.7,0.3,1.6,0,7.29
11,Son Heung-Min Tottenham,29, M(CLR), M(CLR),36(1),3127,10,2.0,28.6,83.4,1,0.8,0,7.27
12,Wilfred Ndidi Leicester,25, DMC,,25(1),2179,4,0.6,55.1,86.9,0,2.0,0,7.25
13,Raphinha Leeds,25, AM(LR), AM(LR),26(4),2364,9,2.1,29.2,72.3,1.3,1.5,0,7.22
14,Raheem Sterling Man City,27, M(CLR), M(CLR),28(3),2537,7,1.3,35.9,86.2,0,0.3,0,7.22
15,James Rodríguez Everton,30, AM(CLR), AM(CLR),21(2),1776,4,1.7,44.8,83.3,0.7,4.3,0.2,7.21
16,Ollie Watkins Aston Villa,25, AM(LR), AM(LR),37,3329,5,1.2,21.7,71.5,0.1,0.2,0,7.18
17,Rodri Man City,25, DMC,,31(3),2749,2,1.0,81.9,91.3,0.1,4.6,0,7.17
18,Michail Antonio West Ham,31, D(R), D(R),24(2),1984,5,1.0,17.4,68.2,0.1,0.5,0,7.17
19,Dominic Calvert-Lewin Everton,24, AM(L), AM(L),32(1),2876,0,0.5,20.5,68.7,0.1,0.5,0,7.17
20,Aaron Wan-Bissaka Man Utd,24, D(R), D(R),34,3060,4,0.9,53.1,84.9,0.4,0.8,0,7.15
21,Phil Foden Man City,21, AM(CLR), AM(CLR),17(11),1614,5,1.3,27.2,88.2,0.5,0.3,0,7.14
22,Marcus Rashford Man Utd,24, AM(CLR), AM(CLR),33(4),2928,9,1.2,32.1,82.1,0.2,0.9,0,7.13
23,Thiago Liverpool,30, M(C),,20(4),1858,0,1.3,71.7,89.6,0,5.0,0.1,7.12
24,Allan Saint-Maximin Newcastle,24, AM(CLR), AM(CLR),19(6),1568,4,1.2,16.7,82.5,0.2,0.6,0,7.12
25,Gabriel Jesus Man City,24, AM(LR), AM(LR),22(7),2060,4,1.1,25.2,85.0,0.1,0.4,0,7.11
26,Pedro Neto Wolves,21, AM(CLR), AM(CLR),30(1),2559,6,2.0,32.9,88.4,1.9,0.5,0,7.11
27,Adama Traoré Wolves,25, M(CLR), M(CLR),28(9),2645,2,1.5,18.9,76.3,0.6,0.4,0,7.11
28,Roberto Firmino Liverpool,30, M(CLR), M(CLR),33(3),2852,7,1.2,36.1,80.7,0,0.6,0.1,7.11
29,Jamie Vardy Leicester,34, AM(L), AM(L),31(3),2846,9,0.8,12.8,67.5,0.1,0.1,0,7.11
30,Youri Tielemans Leicester,24, M(C),,37(1),3358,4,1.3,65.2,81.7,0.6,3.0,0.2,7.09
31,Lucas Digne Everton,28, D(CL), D(CL),30,2682,7,1.5,42.2,77.5,1.5,1.3,0,7.08
32,Christian Benteke Crystal Palace,31, FW,,21(9),1819,1,0.5,19.2,58.6,0,0.3,0,7.08
33,Bernardo Silva Man City,27, M(CLR), M(CLR),24(2),2071,6,1,52.8,91.8,0.1,1.9,0,7.07
34,Kurt Zouma Chelsea,27, D(CR),,22(2),2025,0,0.2,74.0,90.9,0,3.8,0,7.07
35,Solly March Brighton,27, M(CLR),,19(2),1675,1,1.3,34.1,76.0,0.9,2.0,0,7.07
36,James Ward-Prowse Southampton,27, M(CR),,38,3420,7,1.6,64.1,86.4,1.4,2.1,0,7.07
37,Mohamed Salah Liverpool,29, AM(CLR), AM(CLR),34(3),3082,5,1.5,34.1,83.7,0.2,0.6,0.1,7.07
38,Liam Cooper Leeds,30, D(C),,25,2188,0,0,65.9,85.6,0,3.8,0,7.06
39,Serge Aurier Tottenham,28, D(CLR), D(CLR),19,1609,3,0.9,41.7,80.8,0.5,1.1,0.1,7.06
40,Paul Pogba Man Utd,28, M(CL),,21(5),1896,3,1.0,51.3,83.0,0.1,3.7,0.1,7.06
41,Harry Maguire Man Utd,28, D(C),,34,3048,1,0.2,65.5,87.3,0,4.5,0,7.04
42,John Stones Man City,27, D(CR),,22,1934,0,0.1,78.5,93.3,0,2.8,0,7.03
43,James Justin Leicester,23, D(CLR), D(CLR),23,2070,1,0.9,45.8,80.5,0.3,1.2,0,7.03
44,Luke Shaw Man Utd,26, D(CL), D(CL),30(2),2657,5,2.3,50.3,85.0,1.8,0.9,0,7.03
45,Patrick Bamford Leeds,28, AM(CLR), AM(CLR),37(1),3066,7,0.8,13.3,77.3,0,0.1,0.1,7.03
46,James Tarkowski Burnley,29, D(C),,36,3240,0,0.3,35.0,70.1,0.1,3.6,0,7.02
47,Antonio Rüdiger Chelsea,28, D(CR),,19,1710,0,0.2,80.2,89.4,0.1,4.0,0,7.02
48,Trent Alexander-Arnold Liverpool,23, D(R), D(R),34(2),3033,7,2.1,66.1,79.4,1.9,4.2,0.1,7.02
49,Wesley Fofana Leicester,21, D(C),,27(1),2265,0,0.2,60.3,86.4,0,2.7,0,7.01
50,Declan Rice West Ham,22, D(C), D(C),32,2880,1,0.7,47.7,88.0,0.3,2.3,0,7.01
51,Kalvin Phillips Leeds,26, D(C), D(C),28(1),2431,2,1.2,48.4,84.7,1,4.7,0.1,7.01
52,James Maddison Leicester,25, AM(CLR),,24(7),2105,5,1.6,32.9,83.3,0.8,1.1,0.1,7.0
53,Ben Chilwell Chelsea,24, D(L), D(L),27,2290,5,1.1,54.4,82.0,1,1.9,0,7.0
54,Emiliano Martínez Aston Villa,29, GK,,38,3420,0,0.1,29.8,62.5,0,7.0,0,7.0
55,André-Frank Zambo Anguissa Fulham,26, DMC,,29(7),2587,3,0.8,39.3,84.2,0.1,1.1,0.1,6.99
56,Yves Bissouma Brighton,25, M(C),,35(1),3114,0,0.4,46.8,87.4,0,2.1,0,6.98
57,Richarlison Everton,24, AM(CLR), AM(CLR),33(1),2872,3,0.7,22.0,70.0,0.1,0.4,0.1,6.98
58,Harvey Barnes Leicester,24, AM(CL),,22(3),1950,4,1.0,24.2,75.2,0.1,0.7,0,6.98
59,Jack Harrison Leeds,25, AM(CLR), AM(CLR),34(2),2858,8,1.6,27.5,74.0,0.9,0.9,0,6.96
60,Matheus Pereira West Brom,25, AM(CLR),,30(3),2582,6,1.8,28.5,79.6,1.1,1.5,0.2,6.96
61,Vladimir Coufal West Ham,29, D(R), D(R),34,3055,7,1.3,37.6,71.2,1,1.0,0,6.95
62,Pierre-Emile Højbjerg Tottenham,26, M(C),,38,3420,4,0.4,72.8,88.5,0,2.8,0,6.95
63,Luke Ayling Leeds,30, D(CR), D(CR),38,3400,0,0.7,62.7,79.0,0.4,4.6,0.1,6.94
64,Reece James Chelsea,22, D(CR), D(CR),25(7),2367,2,1.3,53.0,88.4,1.1,2.3,0,6.94
65,Oriol Romeu Southampton,30, DMC,,20(1),1768,1,0.7,60.7,82.6,0.1,1.8,0,6.93
66,Matthew Cash Aston Villa,24, D(R), D(R),28,2380,2,0.8,36.0,75.7,0.8,2.0,0,6.93
67,Scott McTominay Man Utd,25, D(C), D(C),24(8),2128,1,0.5,40.6,87.0,0.1,2.1,0,6.93
68,Ben Mee Burnley,32, D(CL),,30,2694,0,0.2,37.4,71.1,0,3.7,0,6.93
69,Fred Man Utd,28, M(C),,27(3),2397,0,0.8,60.2,87.7,0,3.3,0.1,6.92
70,César Azpilicueta Chelsea,32, D(CLR), D(CLR),24(2),2191,2,1,72.6,86.9,0.3,1.5,0.1,6.92
71,Ademola Lookman Fulham,24, AM(CLR), AM(CLR),31(3),2756,4,1.8,30.9,80.9,0.9,0.6,0.1,6.92
72,Michael Keane Everton,28, D(CR),,33(2),2990,1,0.2,55.4,87.2,0,3.7,0,6.92
73,Rúben Dias Man City,24, D(C),,32,2845,0,0.1,84.8,93.2,0,3.4,0,6.91
74,Thiago Silva Chelsea,37, D(C),,23,1938,0,0.2,84.3,93.0,0,5.0,0,6.91
75,Illan Meslier Leeds,21, GK,,35,3150,0,0,30.9,77.1,0,4.8,0,6.91
76,Matt Targett Aston Villa,26, D(L), D(L),38,3405,2,1,44.3,78.0,0.7,3.1,0,6.9
77,Nélson Semedo Wolves,28, D(LR), D(LR),34,2988,1,0.6,46.1,81.0,0.5,1.6,0,6.9
78,Diogo Jota Liverpool,25, AM(CLR), AM(CLR),12(7),1113,0,0.6,22.4,74.9,0.1,0.4,0.1,6.89
79,Jannik Vestergaard Southampton,29, D(C),,29(1),2575,0,0.2,58.8,83.6,0,3.6,0,6.89
80,Alexandre Lacazette Arsenal,30, M(CLR), M(CLR),22(9),1931,2,0.7,16.6,78.8,0,0.4,0.1,6.89
81,Andros Townsend Crystal Palace,30, AM(LR), AM(LR),25(9),2259,5,1.2,20.7,73.7,1.6,0.5,0,6.88
82,John McGinn Aston Villa,27, M(C),,37,3330,5,1.1,36.9,79.4,0.3,3.3,0.1,6.88
83,Wilfried Zaha Crystal Palace,29, AM(LR), AM(LR),29(1),2614,2,1.0,24.5,78.3,0.2,0.3,0.1,6.88
84,Andrew Robertson Liverpool,27, D(L), D(L),38,3386,7,1.7,70.5,84.4,1.6,2.1,0,6.88
85,Bukayo Saka Arsenal,20, D(L), D(L),30(2),2562,3,1.2,30.6,81.8,1,0.4,0,6.88
86,Jorginho Chelsea,30, DMC,,23(5),2014,1,0.9,63.7,89.2,0.1,2.7,0.1,6.88
87,Jonny Evans Leicester,33, D(CL),,28,2476,2,0.4,66.1,85.9,0,3.9,0,6.87
88,Romain Saïss Wolves,31, D(C), D(C),27,2408,0,0.2,52.9,81.2,0.1,4.0,0,6.87
89,Stuart Dallas Leeds,30, D(LR), D(LR),38,3411,2,0.7,51.6,83.7,0.3,2.0,0,6.87
90,Dwight McNeil Burnley,22, M(LR),,34(2),3071,5,1.3,30.7,78.9,1.4,1.8,0,6.87
91,Nick Pope Burnley,29, GK,,32,2880,0,0.1,26.2,44.6,0,8.7,0,6.86
92,Tanguy Ndombele Tottenham,24, M(C),,28(5),2108,2,0.4,35.5,85.6,0.1,0.6,0.1,6.86
93,Yerry Mina Everton,27, D(C),,23(1),1939,0,0,52.4,90.1,0,2.2,0,6.86
94,N'Golo Kanté Chelsea,30, DMC,,24(6),2146,2,0.7,51.0,86.5,0,2.3,0,6.86
95,Toby Alderweireld Tottenham,32, D(CR),,25,2241,0,0.3,57.5,82.5,0,4.4,0.1,6.86
96,Dani Ceballos Arsenal,25, M(CL),,17(8),1616,3,1.1,50.9,87.2,0.4,2.8,0.1,6.85
97,Bertrand Traoré Aston Villa,26, AM(R), AM(R),29(7),2338,6,1,19.4,77.7,0.6,1.2,0.1,6.85
98,Mateo Kovacic Chelsea,27, M(CL),,21(6),1820,1,0.8,65.3,90.8,0,3.5,0.1,6.84
99,Joël Veltman Brighton,29, D(CR), D(CR),25(3),2283,1,0.8,44.6,77.7,0.7,2.5,0,6.84
100,Oleksandr Zinchenko Man City,25, D(L), D(L),15(5),1474,0,0.8,68.4,89.8,0.3,1.5,0,6.84
101,Antonee Robinson Fulham,24, D(L), D(L),24(4),2162,0,1.0,37.4,74.9,1,1.2,0,6.84
102,Kelechi Iheanacho Leicester,25, AM(C), AM(C),16(9),1458,2,1.1,20.2,79.8,0.2,0.4,0.2,6.84
103,Anthony Martial Man Utd,26, AM(LR), AM(LR),17(5),1488,3,0.8,21.9,84.4,0,0.2,0,6.84
104,Lewis Dunk Brighton,30, D(C),,33,2933,0,0.3,67.4,89.4,0,5.5,0,6.84
105,Kyle Walker-Peters Southampton,24, D(LR),,30,2649,2,0.5,44.1,80.9,0.2,1.1,0,6.84
106,Danny Ings Southampton,29, AM(C), AM(C),26(3),2185,4,0.8,17.3,66.3,0.1,0.4,0,6.84
107,Callum Wilson Newcastle,29, FW,,23(3),2086,5,0.7,13.1,69.5,0,0.1,0,6.84
108,Trézéguet Aston Villa,27, AM(LR),,12(9),1166,1,0.6,13.7,75.7,0.2,0.6,0,6.83
109,Timothy Castagne Leicester,26, D(CR), D(CR),27,2346,3,0.8,49.0,84.3,0.3,0.9,0,6.82
110,Pascal Groß Brighton,30, M(CR), M(CR),27(7),2482,8,2.1,41.9,81.6,2,2.7,0,6.82
111,Fabinho Liverpool,28, D(CR), D(CR),28(2),2565,0,0.1,70.3,90.3,0,3.3,0,6.82
112,Stuart Armstrong Southampton,29, AM(CLR),,32(1),2774,5,1.1,37.5,80.7,0.2,1.0,0.1,6.82
113,Jordan Henderson Liverpool,31, D(C), D(C),20(1),1708,1,0.7,86.4,87.3,0.2,4.0,0.1,6.82
114,Aaron Cresswell West Ham,32, D(CL), D(CL),36,3172,8,1.6,45.9,78.9,1.6,3.3,0,6.81
115,Chris Wood Burnley,30, FW,,32(1),2750,3,0.7,19.8,65.1,0,0.1,0,6.81
116,Eberechi Eze Crystal Palace,23, AM(CLR),,29(5),2565,6,1.3,32.0,84.2,0.7,0.7,0,6.81
117,Rúben Neves Wolves,24, DMC,,31(5),2680,1,0.9,54.9,84.4,0.1,5.3,0,6.81
118,Fernandinho Man City,36, D(CR), D(CR),12(9),1185,2,0.7,48.3,87.2,0,2.2,0,6.81
119,Timo Werner Chelsea,25, AM(CLR), AM(CLR),29(6),2608,8,1.0,22.3,78.8,0.3,0.2,0,6.81
120,Pascal Struijk Leeds,22, D(C), D(C),22(5),2074,0,0.1,48.0,86.0,0,2.3,0,6.81
121,Tyrone Mings Aston Villa,28, D(CL),,36,3195,2,0.2,46.6,77.9,0,3.7,0,6.81
122,Jonjo Shelvey Newcastle,29, M(C),,29(1),2617,3,1.2,46.7,76.4,0.7,5.8,0,6.8
123,Leandro Trossard Brighton,27, AM(CLR), AM(CLR),30(5),2622,5,1.4,28.5,78.8,0.7,1.6,0,6.8
124,Joachim Andersen Fulham,25, D(C),,30(1),2730,1,0.3,63.2,81.4,0,5.8,0,6.79
125,Karl Darlow Newcastle,31, GK,,25,2250,0,0,25.1,45.7,0,7.4,0,6.79
126,Rob Holding Arsenal,26, D(CR),,28(2),2558,1,0.1,60.1,87.0,0,3.1,0,6.79
127,Anwar El Ghazi Aston Villa,26, AM(LR), AM(LR),17(11),1617,0,0.9,18.7,75.3,0.8,0.4,0,6.78
128,Abdoulaye Doucouré Everton,28, M(C),,29,2452,3,0.7,46.2,85.1,0,1.3,0.1,6.78
129,Pablo Fornals West Ham,25, M(CLR),,31(2),2583,4,0.9,32.1,79.4,0.2,0.8,0,6.78
130,Pierre-Emerick Aubameyang Arsenal,32, M(CLR), M(CLR),26(3),2337,3,0.8,21.5,78.0,0.3,0.4,0,6.78
131,Ben Godfrey Everton,23, D(CLR),,29(2),2683,2,0.1,39.3,84.7,0.1,1.2,0,6.78
132,Che Adams Southampton,25, AM(CL), AM(CL),30(6),2675,5,1.0,16.9,70.3,0,0.7,0.2,6.77
133,Adam Webster Brighton,26, D(C),,29,2595,0,0.2,63.4,80.9,0,3.4,0,6.77
134,Kyle Bartley West Brom,30, D(C),,28(2),2584,1,0.2,27.6,77.1,0,1.7,0,6.77
135,Emile Smith Rowe Arsenal,21, AM(CL),,18(2),1448,4,1.4,36.3,88.7,0.1,0.6,0.1,6.77
136,Allan Everton,30, DMC,,23(1),2052,0,0.7,44.0,85.6,0,2.4,0,6.77
137,Kyle Walker Man City,31, D(CR), D(CR),22(2),1947,1,0.3,72.2,90.2,0.1,3.7,0,6.77
138,Josh Brownhill Burnley,26, M(CR),,32(1),2816,1,0.5,35.5,78.3,0.1,1.0,0,6.76
139,Ferran Torres Man City,21, AM(LR), AM(LR),15(9),1306,2,0.8,16.9,85.2,0.1,0.4,0,6.76
140,Nicolas Pépé Arsenal,26, AM(LR), AM(LR),16(13),1614,1,0.4,21.7,81.1,0.2,0.2,0,6.76
141,Ross Barkley Aston Villa,28, M(CLR),,18(6),1537,1,1.6,30.3,84.8,0.8,1.4,0,6.75
142,Hugo Lloris Tottenham,34, GK,,38,3420,0,0,23.6,69.3,0,4.8,0,6.75
143,Willy Boly Wolves,30, D(C),,21,1880,1,0.1,49.3,82.5,0,1.9,0,6.75
144,Dan Burn Brighton,29, D(CL), D(CL),23(4),2060,0,0.4,40.7,75.6,0.3,1.1,0,6.75
